Time stamp,Meter 1 Value (kWh),Status internal,Meter 2 Value (kWh)
2022-10-27 00:00,0,N,0
2022-10-27 00:30,0.054,W,0
2022-10-27 01:00,0.053,W,0
2022-10-27 01:30,0.047,W,0
2022-10-27 02:00,0.053,W,0
2022-10-27 02:30,0.047,W,0
2022-10-27 03:00,0.062,W,0.668
2022-10-27 03:30,0.052,W,0
2022-10-27 04:00,0.062,W,0
2022-10-27 04:30,0.038,W,0
2022-10-27 05:00,0.041,W,0
2022-10-27 05:30,0.044,W,0
2022-10-27 06:00,0.053,W,0
2022-10-27 06:30,0.046,W,0
2022-10-27 07:00,0.05,W,0
2022-10-27 07:30,0.051,W,0
2022-10-27 08:00,0.109,W,0
2022-10-27 08:30,0.101,W,0
2022-10-27 09:00,0.074,W,0
2022-10-27 09:30,0.077,W,0
2022-10-27 10:00,0.033,W,0
2022-10-27 10:30,0.051,W,0
2022-10-27 11:00,0.048,W,0
2022-10-27 11:30,0.052,W,0
2022-10-27 12:00,0.051,W,0
2022-10-27 12:30,0.056,W,0.317
2022-10-27 13:00,0.047,W,0.36
2022-10-27 13:30,0.056,W,0
2022-10-27 14:00,0.191,W,0
2022-10-27 14:30,0.164,W,0
2022-10-27 15:00,0.072,W,0
2022-10-27 15:30,0.075,W,0
2022-10-27 16:00,0.172,W,0
2022-10-27 16:30,0.229,W,0
2022-10-27 17:00,0.694,W,0.555
2022-10-27 17:30,0.314,W,0.269
2022-10-27 18:00,0.208,W,0.276
2022-10-27 18:30,0.206,W,0
2022-10-27 19:00,0.246,W,0.497
2022-10-27 19:30,0.256,W,0
2022-10-27 20:00,0.48,W,0.806
2022-10-27 20:30,0.331,W,1.092
2022-10-27 21:00,0.304,W,0
2022-10-27 21:30,0.264,W,0
2022-10-27 22:00,0.266,W,0.853
2022-10-27 22:30,0.27,W,1.054
2022-10-27 23:00,0.258,W,1.475
2022-10-27 23:30,0.173,W,0.178
2022-10-28 00:00,0.163,W,0
2022-10-28 00:30,0.158,W,0
2022-10-28 01:00,0.154,W,0
2022-10-28 01:30,0.127,W,0
2022-10-28 02:00,0.134,W,0
2022-10-28 02:30,0.138,W,0
2022-10-28 03:00,0.137,W,0.554
2022-10-28 03:30,0.141,W,0
2022-10-28 04:00,0.135,W,0
2022-10-28 04:30,0.133,W,0
2022-10-28 05:00,0.132,W,0
2022-10-28 05:30,0.135,W,0
2022-10-28 06:00,0.343,W,0
2022-10-28 06:30,0.322,W,0
2022-10-28 07:00,0.469,W,0
2022-10-28 07:30,0.412,W,0.315
2022-10-28 08:00,0.271,W,0.203
2022-10-28 08:30,0.214,W,0
2022-10-28 09:00,0.21,W,0.446
2022-10-28 09:30,0.101,W,0.035
2022-10-28 10:00,0.242,W,0
2022-10-28 10:30,0.106,W,0
2022-10-28 11:00,0.195,W,0
2022-10-28 11:30,0.285,W,0
2022-10-28 12:00,0.227,W,0.455
2022-10-28 12:30,0.151,W,0
2022-10-28 13:00,0.087,W,0
2022-10-28 13:30,0.096,W,0
2022-10-28 14:00,0.151,W,0
2022-10-28 14:30,0.14,W,0
2022-10-28 15:00,0.145,W,0
2022-10-28 15:30,0.252,W,0.14
2022-10-28 16:00,0.328,W,0.283
2022-10-28 16:30,0.33,W,0
2022-10-28 17:00,0.315,W,0
2022-10-28 17:30,0.341,W,0
2022-10-28 18:00,0.745,W,0
2022-10-28 18:30,0.369,W,0.473
2022-10-28 19:00,0.812,W,0
2022-10-28 19:30,0.741,W,0
2022-10-28 20:00,0.779,W,0
2022-10-28 20:30,0.399,W,0.478
2022-10-28 21:00,0.539,W,0
2022-10-28 21:30,0.686,W,0
2022-10-28 22:00,0.656,W,0
2022-10-28 22:30,0.6,W,0.167
2022-10-28 23:00,0.404,W,0.255
2022-10-28 23:30,0.303,W,0
2022-10-29 00:00,0.25,W,0.42
2022-10-29 00:30,0.261,W,0
2022-10-29 01:00,0.27,W,0
2022-10-29 01:30,0.253,W,0
2022-10-29 02:00,0.25,W,0
2022-10-29 02:30,0.241,W,0
2022-10-29 03:00,0.28,W,0
2022-10-29 03:30,0.249,W,0
2022-10-29 04:00,0.235,W,0
2022-10-29 04:30,0.263,W,0
2022-10-29 05:00,0.268,W,0
2022-10-29 05:30,0.154,W,0
2022-10-29 06:00,0.141,W,0
2022-10-29 06:30,0.404,W,0.415
2022-10-29 07:00,0.339,W,0.257
2022-10-29 07:30,0.449,W,1.424
2022-10-29 08:00,0.763,W,0.176
2022-10-29 08:30,0.481,W,0.484
2022-10-29 09:00,0.403,W,0.346
2022-10-29 09:30,0.45,W,0
2022-10-29 10:00,0.422,W,0.508
2022-10-29 10:30,0.461,W,0
2022-10-29 11:00,1.112,W,0.584
2022-10-29 11:30,0.826,W,0.178
2022-10-29 12:00,0.426,W,0
2022-10-29 12:30,0.388,W,0
2022-10-29 13:00,0.239,W,0.423
2022-10-29 13:30,0.184,W,0
2022-10-29 14:00,0.183,W,0
2022-10-29 14:30,0.195,W,0
2022-10-29 15:00,0.169,W,0
2022-10-29 15:30,0.187,W,0
2022-10-29 16:00,0.263,W,0.417
2022-10-29 16:30,0.276,W,0.014
2022-10-29 17:00,1.273,W,0
2022-10-29 17:30,3.989,W,0
2022-10-29 18:00,2.908,W,0
2022-10-29 18:30,0.241,W,0
2022-10-29 19:00,0.404,W,0.759
2022-10-29 19:30,0.814,W,0
2022-10-29 20:00,0.723,W,0
2022-10-29 20:30,0.606,W,0.531
2022-10-29 21:00,0.306,W,0
2022-10-29 21:30,0.304,W,0
2022-10-29 22:00,0.273,W,0
2022-10-29 22:30,0.295,W,0
2022-10-29 23:00,0.358,W,0
2022-10-29 23:30,0.226,W,0.418
2022-10-30 00:00,0.218,W,0
2022-10-30 00:30,0.197,W,0
2022-10-30 01:00,0.203,W,0
2022-10-30 01:30,0.224,W,0
2022-10-30 02:00,0.256,W,0
2022-10-30 02:30,0.348,W,0
2022-10-30 03:00,0.306,W,0
2022-10-30 03:30,0.299,W,0
2022-10-30 04:00,0.332,W,0
2022-10-30 04:30,0.335,W,0
2022-10-30 05:00,0.345,W,0
2022-10-30 05:30,0.225,W,0.025
2022-10-30 06:00,0.238,W,0.417
2022-10-30 06:30,0.242,W,0
2022-10-30 07:00,0.321,W,0
2022-10-30 07:30,0.359,W,0.438
2022-10-30 08:00,0.335,W,0
2022-10-30 08:30,0.324,W,0
2022-10-30 09:00,0.296,W,0.502
2022-10-30 09:30,0.277,W,0
2022-10-30 10:00,0.315,W,0.651
2022-10-30 10:30,0.331,W,0
2022-10-30 11:00,0.286,W,0
2022-10-30 11:30,0.225,W,0
2022-10-30 12:00,0.156,W,0
2022-10-30 12:30,0.154,W,0
2022-10-30 13:00,0.166,W,0
2022-10-30 13:30,0.148,W,0
2022-10-30 14:00,0.148,W,0
2022-10-30 14:30,0.154,W,0
2022-10-30 15:00,0.133,W,0.375
2022-10-30 15:30,0.156,W,0.045
2022-10-30 16:00,0.137,W,0
2022-10-30 16:30,0.14,W,0
2022-10-30 17:00,0.297,W,0
2022-10-30 17:30,0.875,W,0
2022-10-30 18:00,0.622,W,0.434
2022-10-30 18:30,0.413,W,0
2022-10-30 19:00,0.332,W,0.015
2022-10-30 19:30,0.297,W,0.475
2022-10-30 20:00,0.666,W,0
2022-10-30 20:30,0.776,W,0.503
2022-10-30 21:00,0.456,W,0
2022-10-30 21:30,0.676,W,0.711
2022-10-30 22:00,0.393,W,0.137
2022-10-30 22:30,0.287,W,0
2022-10-30 23:00,0.3,W,0
2022-10-30 23:30,0.168,W,0
2022-10-31 00:00,0.15,W,0
2022-10-31 00:30,0.152,W,0
2022-10-31 01:00,0.175,W,0
2022-10-31 01:30,0.166,W,0
2022-10-31 02:00,0.159,W,0
2022-10-31 02:30,0.284,W,0.421
2022-10-31 03:00,0.26,W,0
2022-10-31 03:30,0.24,W,0
2022-10-31 04:00,0.256,W,0
2022-10-31 04:30,0.288,W,0
2022-10-31 05:00,0.287,W,0
2022-10-31 05:30,0.181,W,0
2022-10-31 06:00,0.172,W,0
2022-10-31 06:30,0.168,W,0
2022-10-31 07:00,0.19,W,0
2022-10-31 07:30,0.62,W,0.234
2022-10-31 08:00,0.386,W,0.276
2022-10-31 08:30,0.537,W,0.446
2022-10-31 09:00,0.247,W,0
2022-10-31 09:30,0.273,W,0
2022-10-31 10:00,0.254,W,0
2022-10-31 10:30,0.196,W,0
2022-10-31 11:00,0.184,W,0
2022-10-31 11:30,0.163,W,0.274
2022-10-31 12:00,0.141,W,0.131
2022-10-31 12:30,0.308,W,0
2022-10-31 13:00,0.238,W,0
2022-10-31 13:30,0.222,W,0.441
2022-10-31 14:00,0.209,W,0
2022-10-31 14:30,0.237,W,0
2022-10-31 15:00,0.237,W,0
2022-10-31 15:30,0.202,W,0
2022-10-31 16:00,0.217,W,0
2022-10-31 16:30,0.225,W,0
2022-10-31 17:00,0.251,W,0
2022-10-31 17:30,0.335,W,0
2022-10-31 18:00,0.205,W,0
2022-10-31 18:30,0.173,W,0.378
2022-10-31 19:00,0.21,W,0
2022-10-31 19:30,0.326,W,0
2022-10-31 20:00,0.441,W,0.891
2022-10-31 20:30,0.439,W,1.276
2022-10-31 21:00,0.848,W,0.099
2022-10-31 21:30,0.735,W,0.452
2022-10-31 22:00,0.324,W,0
2022-10-31 22:30,0.308,W,0
2022-10-31 23:00,0.293,W,0.302
2022-10-31 23:30,0.148,W,0.145
2022-11-01 00:00,0.133,W,0
2022-11-01 00:30,0.148,W,0
2022-11-01 01:00,0.143,W,0
2022-11-01 01:30,0.137,W,0
2022-11-01 02:00,0.147,W,0
2022-11-01 02:30,0.289,W,0
2022-11-01 03:00,0.232,W,0
2022-11-01 03:30,0.255,W,0
2022-11-01 04:00,0.244,W,0
2022-11-01 04:30,0.273,W,0
2022-11-01 05:00,0.277,W,0.411
2022-11-01 05:30,0.184,W,0
2022-11-01 06:00,0.161,W,0
2022-11-01 06:30,0.18,W,0
2022-11-01 07:00,0.175,W,0
2022-11-01 07:30,0.309,W,0.422
2022-11-01 08:00,0.171,W,0.691
2022-11-01 08:30,0.142,W,0.683
2022-11-01 09:00,0.154,W,0
2022-11-01 09:30,0.158,W,0
2022-11-01 10:00,0.154,W,0
2022-11-01 10:30,0.156,W,0
2022-11-01 11:00,0.128,W,0
2022-11-01 11:30,0.145,W,0.024
2022-11-01 12:00,0.152,W,0.405
2022-11-01 12:30,0.123,W,0
2022-11-01 13:00,0.139,W,0
2022-11-01 13:30,0.126,W,0
2022-11-01 14:00,0.132,W,0
2022-11-01 14:30,0.121,W,0
2022-11-01 15:00,0.126,W,0
2022-11-01 15:30,0.115,W,0
2022-11-01 16:00,0.129,W,0
2022-11-01 16:30,0.129,W,0
2022-11-01 17:00,0.125,W,0
2022-11-01 17:30,0.121,W,0
2022-11-01 18:00,0.411,W,0.457
2022-11-01 18:30,0.329,W,0
2022-11-01 19:00,0.161,W,0.554
2022-11-01 19:30,0.487,W,0
2022-11-01 20:00,0.826,W,0
2022-11-01 20:30,0.964,W,0
2022-11-01 21:00,0.585,W,0.452
2022-11-01 21:30,0.565,W,0
2022-11-01 22:00,0.577,W,0
2022-11-01 22:30,0.542,W,0
2022-11-01 23:00,0.405,W,0.456
2022-11-01 23:30,0.22,W,0
2022-11-02 00:00,0.151,W,0
2022-11-02 00:30,0.133,W,0
2022-11-02 01:00,0.164,W,0
2022-11-02 01:30,0.154,W,0
2022-11-02 02:00,0.148,W,0.138
2022-11-02 02:30,0.333,W,0.271
2022-11-02 03:00,0.41,W,0
2022-11-02 03:30,0.414,W,0
2022-11-02 04:00,0.393,W,0
2022-11-02 04:30,0.406,W,0
2022-11-02 05:00,0.336,W,0
2022-11-02 05:30,0.148,W,0
2022-11-02 06:00,0.173,W,0
2022-11-02 06:30,0.167,W,0
2022-11-02 07:00,0.182,W,0
2022-11-02 07:30,0.288,W,0.433
2022-11-02 08:00,0.332,W,1.265
2022-11-02 08:30,0.242,W,1.168
2022-11-02 09:00,0.153,W,0
2022-11-02 09:30,0.174,W,0
2022-11-02 10:00,0.147,W,0
2022-11-02 10:30,0.18,W,0
2022-11-02 11:00,0.17,W,0
2022-11-02 11:30,0.159,W,0
2022-11-02 12:00,0.166,W,0.268
2022-11-02 12:30,0.171,W,0.256
2022-11-02 13:00,0.17,W,0
2022-11-02 13:30,0.169,W,0
2022-11-02 14:00,0.171,W,0
2022-11-02 14:30,0.17,W,0
2022-11-02 15:00,0.177,W,0
2022-11-02 15:30,0.159,W,0
2022-11-02 16:00,0.164,W,0
2022-11-02 16:30,0.162,W,0
2022-11-02 17:00,0.203,W,0
2022-11-02 17:30,0.283,W,0
2022-11-02 18:00,0.235,W,0.475
2022-11-02 18:30,0.803,W,0
2022-11-02 19:00,0.263,W,0
2022-11-02 19:30,0.41,W,0.599
2022-11-02 20:00,0.961,W,0
2022-11-02 20:30,0.967,W,0.55
2022-11-02 21:00,0.487,W,0
2022-11-02 21:30,0.511,W,0
2022-11-02 22:00,1.131,W,1.195
2022-11-02 22:30,0.499,W,0.117
2022-11-02 23:00,0.396,W,0
2022-11-02 23:30,0.226,W,0
2022-11-03 00:00,0.185,W,0
2022-11-03 00:30,0.194,W,0.198
2022-11-03 01:00,0.206,W,0.217
2022-11-03 01:30,0.173,W,0
2022-11-03 02:00,0.148,W,0
2022-11-03 02:30,0.335,W,0
2022-11-03 03:00,0.415,W,0
2022-11-03 03:30,0.418,W,0
2022-11-03 04:00,0.411,W,0
2022-11-03 04:30,0.41,W,0
2022-11-03 05:00,0.347,W,0
2022-11-03 05:30,0.154,W,0
2022-11-03 06:00,0.194,W,0
2022-11-03 06:30,0.189,W,0.419
2022-11-03 07:00,0.283,W,0
2022-11-03 07:30,0.485,W,0.625
2022-11-03 08:00,0.503,W,0
2022-11-03 08:30,0.574,W,0.486
2022-11-03 09:00,0.331,W,0
2022-11-03 09:30,0.345,W,0
2022-11-03 10:00,0.316,W,0.327
2022-11-03 10:30,0.265,W,0.104
2022-11-03 11:00,0.228,W,0
2022-11-03 11:30,0.3,W,0.131
2022-11-03 12:00,0.305,W,0.272
2022-11-03 12:30,0.188,W,0
2022-11-03 13:00,0.372,W,0
2022-11-03 13:30,0.184,W,0.483
2022-11-03 14:00,0.146,W,0
2022-11-03 14:30,0.162,W,0
2022-11-03 15:00,0.172,W,0
2022-11-03 15:30,0.136,W,0
2022-11-03 16:00,0.139,W,0
2022-11-03 16:30,0.163,W,0.627
2022-11-03 17:00,0.231,W,1.44
2022-11-03 17:30,0.723,W,1.362
2022-11-03 18:00,0.634,W,0
2022-11-03 18:30,0.383,W,0.717
2022-11-03 19:00,0.784,W,0
2022-11-03 19:30,0.554,W,0
2022-11-03 20:00,0.532,W,0
