Month & hour,Elevation,Azimuth,Hourly W/m2,Cumulative kWh/m2,Cloudless W/m2
Jan  0:00,-28.5,-179.5,0,0.00,0
Jan  1:00,-27.1,164.6,0,0.00,0
Jan  2:00,-22.7,149.9,0,0.00,0
Jan  3:00,-16.0,136.8,0,0.00,0
Jan  4:00,-7.5,125.3,0,0.00,0
Jan  5:00,2.2,115.1,20,0.02,17
Jan  6:00,12.8,105.7,139,0.16,296
Jan  7:00,23.8,96.5,290,0.45,529
Jan  8:00,35.1,86.7,437,0.88,742
Jan  9:00,46.2,75.3,557,1.44,916
Jan 10:00,56.6,59.9,647,2.09,1034
Jan 11:00,65.1,36.5,710,2.80,1085
Jan 12:00,68.8,1.3,726,3.52,1065
Jan 13:00,65.5,-34.5,684,4.21,975
Jan 14:00,57.2,-58.7,600,4.81,826
Jan 15:00,46.9,-74.4,477,5.29,633
Jan 16:00,35.8,-86.0,323,5.61,417
Jan 17:00,24.5,-95.8,170,5.78,204
Jan 18:00,13.4,-105.0,61,5.84,41
Jan 19:00,2.8,-114.4,15,5.86,20
Jan 20:00,-7.0,-124.5,0,5.86,0
Jan 21:00,-15.6,-135.9,0,5.86,0
Jan 22:00,-22.5,-148.9,0,5.86,0
Jan 23:00,-27.1,-163.6,0,5.86,0
Feb  0:00,-37.7,-178.5,0,0.00,0
Feb  1:00,-36.2,163.1,0,0.00,0
Feb  2:00,-31.3,146.4,0,0.00,0
Feb  3:00,-24.0,131.9,0,0.00,0
Feb  4:00,-14.8,119.7,0,0.00,0
Feb  5:00,-4.6,108.9,1,0.00,0
Feb  6:00,6.3,99.0,74,0.07,166
Feb  7:00,17.6,89.3,225,0.30,421
Feb  8:00,28.7,78.8,381,0.68,646
Feb  9:00,39.5,66.6,520,1.20,829
Feb 10:00,49.1,50.9,616,1.82,955
Feb 11:00,56.4,29.6,661,2.48,1012
Feb 12:00,59.6,2.3,680,3.16,994
Feb 13:00,57.2,-25.7,652,3.81,905
Feb 14:00,50.4,-48.0,563,4.37,754
Feb 15:00,41.0,-64.4,430,4.80,558
Feb 16:00,30.4,-77.0,273,5.08,340
Feb 17:00,19.2,-87.6,120,5.20,130
Feb 18:00,8.0,-97.4,36,5.23,34
Feb 19:00,-3.1,-107.2,3,5.23,0
Feb 20:00,-13.5,-117.8,0,5.23,0
Feb 21:00,-22.9,-129.7,0,5.23,0
Feb 22:00,-30.6,-143.8,0,5.23,0
Feb 23:00,-35.9,-160.3,0,5.23,0
Mar  0:00,-48.4,179.5,0,0.00,0
Mar  1:00,-46.2,157.5,0,0.00,0
Mar  2:00,-40.2,138.6,0,0.00,0
Mar  3:00,-31.7,123.3,0,0.00,0
Mar  4:00,-21.6,110.8,0,0.00,0
Mar  5:00,-10.8,99.9,0,0.00,0
Mar  6:00,0.4,89.9,12,0.01,2
Mar  7:00,11.6,79.9,144,0.16,310
Mar  8:00,22.5,69.0,284,0.44,538
Mar  9:00,32.5,56.3,406,0.85,719
Mar 10:00,40.9,40.8,499,1.35,840
Mar 11:00,46.8,21.6,552,1.90,890
Mar 12:00,48.8,-0.6,561,2.46,866
Mar 13:00,46.5,-22.7,511,2.97,771
Mar 14:00,40.5,-41.7,430,3.40,616
Mar 15:00,31.9,-57.0,311,3.71,421
Mar 16:00,21.8,-69.5,166,3.88,211
Mar 17:00,10.9,-80.3,48,3.92,38
Mar 18:00,-0.3,-90.3,9,3.93,0
Mar 19:00,-11.5,-100.3,0,3.93,0
Mar 20:00,-22.4,-111.2,0,3.93,0
Mar 21:00,-32.4,-123.8,0,3.93,0
Mar 22:00,-40.9,-139.3,0,3.93,0
Mar 23:00,-46.7,-158.5,0,3.93,0
Apr  0:00,-60.0,175.1,0,0.00,0
Apr  1:00,-56.4,147.8,0,0.00,0
Apr  2:00,-48.7,127.0,0,0.00,0
Apr  3:00,-38.9,111.7,0,0.00,0
Apr  4:00,-28.1,99.7,0,0.00,0
Apr  5:00,-16.9,89.4,0,0.00,0
Apr  6:00,-5.7,79.7,0,0.00,0
Apr  7:00,5.2,69.8,65,0.07,156
Apr  8:00,15.3,58.9,196,0.26,399
Apr  9:00,24.3,46.5,301,0.56,569
Apr 10:00,31.4,32.0,381,0.94,678
Apr 11:00,35.9,15.1,419,1.36,718
Apr 12:00,37.1,-3.1,419,1.78,687
Apr 13:00,34.7,-21.0,374,2.15,590
Apr 14:00,29.2,-37.1,293,2.45,440
Apr 15:00,21.4,-50.9,183,2.63,258
Apr 16:00,11.9,-62.7,54,2.69,40
Apr 17:00,1.5,-73.1,13,2.70,11
Apr 18:00,-9.6,-82.8,0,2.70,0
Apr 19:00,-20.8,-92.6,0,2.70,0
Apr 20:00,-32.0,-103.3,0,2.70,0
Apr 21:00,-42.6,-116.1,0,2.70,0
Apr 22:00,-51.9,-133.0,0,2.70,0
Apr 23:00,-58.5,-156.2,0,2.70,0
May  0:00,-68.5,171.9,0,0.00,0
May  1:00,-63.6,138.7,0,0.00,0
May  2:00,-54.7,117.1,0,0.00,0
May  3:00,-44.1,102.7,0,0.00,0
May  4:00,-33.0,91.6,0,0.00,0
May  5:00,-21.7,82.0,0,0.00,0
May  6:00,-10.7,72.8,0,0.00,0
May  7:00,-0.3,63.3,6,0.01,0
May  8:00,9.2,52.9,102,0.11,264
May  9:00,17.5,41.1,202,0.31,434
May 10:00,23.9,27.7,273,0.58,537
May 11:00,27.7,12.6,306,0.89,574
May 12:00,28.6,-3.4,308,1.20,544
May 13:00,26.4,-19.1,268,1.46,454
May 14:00,21.4,-33.5,197,1.66,317
May 15:00,14.2,-46.2,83,1.74,42
May 16:00,5.3,-57.3,26,1.77,29
May 17:00,-4.7,-67.3,1,1.77,0
May 18:00,-15.4,-76.6,0,1.77,0
May 19:00,-26.5,-85.8,0,1.77,0
May 20:00,-37.8,-95.9,0,1.77,0
May 21:00,-48.8,-108.0,0,1.77,0
May 22:00,-58.9,-124.8,0,1.77,0
May 23:00,-66.5,-151.0,0,1.77,0
Jun  0:00,-72.1,174.3,0,0.00,0
Jun  1:00,-67.2,136.4,0,0.00,0
Jun  2:00,-58.0,113.9,0,0.00,0
Jun  3:00,-47.2,99.7,0,0.00,0
Jun  4:00,-36.0,89.0,0,0.00,0
Jun  5:00,-24.7,79.7,0,0.00,0
Jun  6:00,-13.9,70.8,0,0.00,0
Jun  7:00,-3.6,61.6,0,0.00,0
Jun  8:00,5.8,51.5,37,0.04,178
Jun  9:00,13.9,40.2,145,0.18,361
Jun 10:00,20.2,27.4,229,0.41,469
Jun 11:00,24.1,13.2,262,0.67,512
Jun 12:00,25.3,-1.9,263,0.94,491
Jun 13:00,23.4,-16.9,228,1.16,410
Jun 14:00,18.8,-30.8,165,1.33,282
Jun 15:00,12.1,-43.2,60,1.39,40
Jun 16:00,3.6,-54.2,18,1.41,24
Jun 17:00,-6.1,-64.0,0,1.41,0
Jun 18:00,-16.6,-73.1,0,1.41,0
Jun 19:00,-27.6,-82.0,0,1.41,0
Jun 20:00,-38.8,-91.5,0,1.41,0
Jun 21:00,-50.0,-102.8,0,1.41,0
Jun 22:00,-60.5,-118.5,0,1.41,0
Jun 23:00,-69.0,-144.3,0,1.41,0
Jul  0:00,-69.4,178.2,0,0.00,0
Jul  1:00,-65.5,142.4,0,0.00,0
Jul  2:00,-56.9,119.0,0,0.00,0
Jul  3:00,-46.4,103.9,0,0.00,0
Jul  4:00,-35.3,92.6,0,0.00,0
Jul  5:00,-24.0,82.9,0,0.00,0
Jul  6:00,-13.0,73.7,0,0.00,0
Jul  7:00,-2.5,64.4,2,0.00,0
Jul  8:00,7.2,54.2,79,0.08,218
Jul  9:00,15.7,42.8,186,0.27,402
Jul 10:00,22.4,29.7,263,0.53,516
Jul 11:00,26.7,15.0,298,0.83,564
Jul 12:00,28.1,-0.7,294,1.12,546
Jul 13:00,26.4,-16.4,265,1.39,466
Jul 14:00,21.9,-31.0,201,1.59,336
Jul 15:00,15.0,-43.9,102,1.69,178
Jul 16:00,6.4,-55.2,31,1.72,32
Jul 17:00,-3.3,-65.3,2,1.72,0
Jul 18:00,-13.9,-74.7,0,1.72,0
Jul 19:00,-25.0,-83.8,0,1.72,0
Jul 20:00,-36.2,-93.6,0,1.72,0
Jul 21:00,-47.3,-105.2,0,1.72,0
Jul 22:00,-57.7,-120.9,0,1.72,0
Jul 23:00,-66.0,-145.3,0,1.72,0
Aug  0:00,-61.3,177.2,0,0.00,0
Aug  1:00,-57.9,148.8,0,0.00,0
Aug  2:00,-50.3,127.3,0,0.00,0
Aug  3:00,-40.5,111.7,0,0.00,0
Aug  4:00,-29.6,99.6,0,0.00,0
Aug  5:00,-18.4,89.3,0,0.00,0
Aug  6:00,-7.2,79.7,0,0.00,0
Aug  7:00,3.7,69.8,53,0.05,118
Aug  8:00,13.9,59.2,188,0.24,373
Aug  9:00,22.9,47.0,285,0.53,549
Aug 10:00,30.2,32.7,360,0.89,663
Aug 11:00,34.9,16.2,396,1.28,708
Aug 12:00,36.3,-1.7,399,1.68,683
Aug 13:00,34.2,-19.5,356,2.04,591
Aug 14:00,29.0,-35.6,291,2.33,446
Aug 15:00,21.4,-49.5,185,2.51,267
Aug 16:00,12.1,-61.3,60,2.57,40
Aug 17:00,1.8,-71.8,16,2.59,15
Aug 18:00,-9.2,-81.6,0,2.59,0
Aug 19:00,-20.4,-91.4,0,2.59,0
Aug 20:00,-31.6,-101.9,0,2.59,0
Aug 21:00,-42.2,-114.5,0,2.59,0
Aug 22:00,-51.7,-131.0,0,2.59,0
Aug 23:00,-58.6,-153.9,0,2.59,0
Sep  0:00,-49.8,174.0,0,0.00,0
Sep  1:00,-46.5,152.0,0,0.00,0
Sep  2:00,-39.6,133.7,0,0.00,0
Sep  3:00,-30.5,119.1,0,0.00,0
Sep  4:00,-20.1,107.0,0,0.00,0
Sep  5:00,-9.1,96.5,0,0.00,0
Sep  6:00,2.2,86.6,33,0.03,18
Sep  7:00,13.3,76.4,168,0.20,355
Sep  8:00,24.0,65.3,314,0.51,573
Sep  9:00,33.6,52.1,409,0.92,741
Sep 10:00,41.5,36.0,472,1.40,847
Sep 11:00,46.5,16.2,502,1.90,880
Sep 12:00,47.5,-5.8,499,2.40,839
Sep 13:00,44.3,-26.9,452,2.85,730
Sep 14:00,37.7,-44.9,373,3.22,564
Sep 15:00,28.8,-59.4,255,3.48,364
Sep 16:00,18.6,-71.4,128,3.61,158
Sep 17:00,7.7,-81.9,39,3.64,34
Sep 18:00,-3.6,-91.9,2,3.65,0
Sep 19:00,-14.7,-102.0,0,3.65,0
Sep 20:00,-25.5,-113.2,0,3.65,0
Sep 21:00,-35.2,-126.5,0,3.65,0
Sep 22:00,-43.2,-142.9,0,3.65,0
Sep 23:00,-48.4,-163.2,0,3.65,0
Oct  0:00,-38.2,172.4,0,0.00,0
Oct  1:00,-35.0,154.5,0,0.00,0
Oct  2:00,-28.7,138.7,0,0.00,0
Oct  3:00,-20.3,125.3,0,0.00,0
Oct  4:00,-10.5,113.8,0,0.00,0
Oct  5:00,0.2,103.6,12,0.01,2
Oct  6:00,11.3,93.9,131,0.14,290
Oct  7:00,22.6,83.9,284,0.43,530
Oct  8:00,33.6,72.7,400,0.83,737
Oct  9:00,43.9,59.1,502,1.33,895
Oct 10:00,52.6,41.1,569,1.90,989
Oct 11:00,58.1,16.8,608,2.51,1011
Oct 12:00,58.6,-11.5,602,3.11,958
Oct 13:00,54.0,-37.0,552,3.66,838
Oct 14:00,45.8,-56.1,459,4.12,663
Oct 15:00,35.7,-70.5,326,4.44,453
Oct 16:00,24.8,-82.0,187,4.63,235
Oct 17:00,13.6,-92.1,70,4.70,41
Oct 18:00,2.4,-101.9,18,4.72,19
Oct 19:00,-8.4,-112.0,0,4.72,0
Oct 20:00,-18.3,-123.2,0,4.72,0
Oct 21:00,-27.0,-136.1,0,4.72,0
Oct 22:00,-33.7,-151.4,0,4.72,0
Oct 23:00,-37.5,-168.9,0,4.72,0
Nov  0:00,-28.9,173.7,0,0.00,0
Nov  1:00,-26.1,158.0,0,0.00,0
Nov  2:00,-20.6,143.9,0,0.00,0
Nov  3:00,-13.0,131.4,0,0.00,0
Nov  4:00,-3.9,120.5,0,0.00,0
Nov  5:00,6.3,110.7,62,0.06,152
Nov  6:00,17.1,101.4,188,0.25,393
Nov  7:00,28.3,92.1,339,0.59,620
Nov  8:00,39.6,81.7,463,1.05,820
Nov  9:00,50.5,68.9,555,1.61,972
Nov 10:00,60.2,50.8,621,2.23,1063
Nov 11:00,67.1,22.5,661,2.89,1084
Nov 12:00,67.9,-14.8,662,3.55,1034
Nov 13:00,62.1,-45.7,627,4.18,918
Nov 14:00,52.8,-65.7,537,4.72,747
Nov 15:00,42.0,-79.3,404,5.12,542
Nov 16:00,30.8,-90.0,256,5.38,324
Nov 17:00,19.6,-99.5,118,5.49,122
Nov 18:00,8.7,-108.7,41,5.54,36
Nov 19:00,-1.6,-118.4,4,5.54,0
Nov 20:00,-11.0,-129.0,0,5.54,0
Nov 21:00,-18.9,-141.1,0,5.54,0
Nov 22:00,-24.9,-154.9,0,5.54,0
Nov 23:00,-28.3,-170.2,0,5.54,0
Dec  0:00,-25.2,177.0,0,0.00,0
Dec  1:00,-23.2,162.1,0,0.00,0
Dec  2:00,-18.4,148.3,0,0.00,0
Dec  3:00,-11.5,136.0,0,0.00,0
Dec  4:00,-3.0,125.1,0,0.00,0
Dec  5:00,6.8,115.4,57,0.06,153
Dec  6:00,17.3,106.3,185,0.24,384
Dec  7:00,28.3,97.4,320,0.56,609
Dec  8:00,39.6,87.8,464,1.03,810
Dec  9:00,50.7,76.3,577,1.60,969
Dec 10:00,61.2,60.1,665,2.27,1071
Dec 11:00,69.5,33.3,703,2.97,1106
Dec 12:00,72.0,-8.6,702,3.67,1070
Dec 13:00,66.7,-45.4,661,4.33,968
Dec 14:00,57.3,-67.2,582,4.92,810
Dec 15:00,46.5,-81.0,456,5.37,614
Dec 16:00,35.2,-91.6,310,5.68,399
Dec 17:00,24.0,-100.8,164,5.85,191
Dec 18:00,13.2,-109.7,62,5.91,41
Dec 19:00,2.9,-119.0,14,5.92,21
Dec 20:00,-6.4,-129.1,0,5.92,0
Dec 21:00,-14.4,-140.5,0,5.92,0
Dec 22:00,-20.5,-153.4,0,5.92,0
Dec 23:00,-24.3,-167.7,0,5.92,0
