Time stamp,Phase 1 (kWh),Phase 2 (kWh),Phase 3 (kWh),Controlled (kWh)
2022-10-27 00:30,0.021,0.02,0.013,0
2022-10-27 01:00,0.02,0.02,0.013,0
2022-10-27 01:30,0.02,0.013,0.014,0
2022-10-27 02:00,0.019,0.021,0.013,0
2022-10-27 02:30,0.021,0.013,0.013,0
2022-10-27 03:00,0.027,0.021,0.014,0.668
2022-10-27 03:30,0.026,0.013,0.013,0
2022-10-27 04:00,0.027,0.021,0.014,0
2022-10-27 04:30,0.012,0.013,0.013,0
2022-10-27 05:00,0.007,0.021,0.013,0
2022-10-27 05:30,0.017,0.013,0.014,0
2022-10-27 06:00,0.02,0.02,0.013,0
2022-10-27 06:30,0.02,0.013,0.013,0
2022-10-27 07:00,0.02,0.017,0.013,0
2022-10-27 07:30,0.02,0.017,0.014,0
2022-10-27 08:00,0.084,0.012,0.013,0
2022-10-27 08:30,0.066,0.021,0.014,0
2022-10-27 09:00,0.048,0.013,0.013,0
2022-10-27 09:30,0.043,0.02,0.014,0
2022-10-27 10:00,0.007,0.013,0.013,0
2022-10-27 10:30,0.017,0.02,0.014,0
2022-10-27 11:00,0.021,0.014,0.013,0
2022-10-27 11:30,0.02,0.018,0.014,0
2022-10-27 12:00,0.021,0.016,0.014,0
2022-10-27 12:30,0.022,0.02,0.014,0.317
2022-10-27 13:00,0.022,0.012,0.013,0.36
2022-10-27 13:30,0.022,0.02,0.014,0
2022-10-27 14:00,0.023,0.021,0.147,0
2022-10-27 14:30,0.029,0.014,0.121,0
2022-10-27 15:00,0.029,0.021,0.022,0
2022-10-27 15:30,0.029,0.022,0.024,0
2022-10-27 16:00,0.064,0.015,0.093,0
2022-10-27 16:30,0.071,0.024,0.134,0
2022-10-27 17:00,0.041,0.024,0.629,0.555
2022-10-27 17:30,0.066,0.02,0.228,0.269
2022-10-27 18:00,0.047,0.028,0.133,0.276
2022-10-27 18:30,0.042,0.034,0.13,0
2022-10-27 19:00,0.092,0.022,0.132,0.497
2022-10-27 19:30,0.098,0.028,0.13,0
2022-10-27 20:00,0.098,0.196,0.186,0.806
2022-10-27 20:30,0.096,0.141,0.094,1.092
2022-10-27 21:00,0.103,0.123,0.078,0
2022-10-27 21:30,0.082,0.107,0.075,0
2022-10-27 22:00,0.107,0.043,0.116,0.853
2022-10-27 22:30,0.101,0.049,0.12,1.054
2022-10-27 23:00,0.124,0.043,0.091,1.475
2022-10-27 23:30,0.055,0.027,0.091,0.178
2022-10-28 00:00,0.048,0.024,0.091,0
2022-10-28 00:30,0.051,0.015,0.092,0
2022-10-28 01:00,0.04,0.024,0.09,0
2022-10-28 01:30,0.022,0.016,0.089,0
2022-10-28 02:00,0.021,0.023,0.09,0
2022-10-28 02:30,0.028,0.02,0.09,0
