Month & hour,Elevation,Azimuth,Hourly W/m2,Cumulative kWh/m2,Cloudless W/m2
Jan  0:00,-28.5,-179.5,0,0.00,0
Jan  1:00,-27.1,164.6,0,0.00,0
Jan  2:00,-22.7,149.9,0,0.00,0
Jan  3:00,-16.0,136.8,0,0.00,0
Jan  4:00,-7.5,125.3,0,0.00,0
Jan  5:00,2.2,115.1,12,0.01,17
Jan  6:00,12.8,105.7,63,0.07,62
Jan  7:00,23.8,96.5,185,0.26,254
Jan  8:00,35.1,86.7,332,0.59,478
Jan  9:00,46.2,75.3,471,1.06,698
Jan 10:00,56.6,59.9,589,1.65,888
Jan 11:00,65.1,36.5,687,2.34,1026
Jan 12:00,68.8,1.3,741,3.08,1098
Jan 13:00,65.5,-34.5,739,3.82,1097
Jan 14:00,57.2,-58.7,692,4.51,1022
Jan 15:00,46.9,-74.4,599,5.11,881
Jan 16:00,35.8,-86.0,453,5.56,689
Jan 17:00,24.5,-95.8,290,5.85,465
Jan 18:00,13.4,-105.0,112,5.96,235
Jan 19:00,2.8,-114.4,15,5.98,20
Jan 20:00,-7.0,-124.5,0,5.98,0
Jan 21:00,-15.6,-135.9,0,5.98,0
Jan 22:00,-22.5,-148.9,0,5.98,0
Jan 23:00,-27.1,-163.6,0,5.98,0
Feb  0:00,-37.7,-178.5,0,0.00,0
Feb  1:00,-36.2,163.1,0,0.00,0
Feb  2:00,-31.3,146.4,0,0.00,0
Feb  3:00,-24.0,131.9,0,0.00,0
Feb  4:00,-14.8,119.7,0,0.00,0
Feb  5:00,-4.6,108.9,1,0.00,0
Feb  6:00,6.3,99.0,28,0.03,31
Feb  7:00,17.6,89.3,127,0.16,171
Feb  8:00,28.7,78.8,277,0.43,393
Feb  9:00,39.5,66.6,430,0.86,618
Feb 10:00,49.1,50.9,557,1.42,814
Feb 11:00,56.4,29.6,639,2.06,960
Feb 12:00,59.6,2.3,699,2.76,1037
Feb 13:00,57.2,-25.7,714,3.47,1039
Feb 14:00,50.4,-48.0,665,4.14,963
Feb 15:00,41.0,-64.4,564,4.70,819
Feb 16:00,30.4,-77.0,418,5.12,621
Feb 17:00,19.2,-87.6,241,5.36,390
Feb 18:00,8.0,-97.4,36,5.40,34
Feb 19:00,-3.1,-107.2,3,5.40,0
Feb 20:00,-13.5,-117.8,0,5.40,0
Feb 21:00,-22.9,-129.7,0,5.40,0
Feb 22:00,-30.6,-143.8,0,5.40,0
Feb 23:00,-35.9,-160.3,0,5.40,0
Mar  0:00,-48.4,179.5,0,0.00,0
Mar  1:00,-46.2,157.5,0,0.00,0
Mar  2:00,-40.2,138.6,0,0.00,0
Mar  3:00,-31.7,123.3,0,0.00,0
Mar  4:00,-21.6,110.8,0,0.00,0
Mar  5:00,-10.8,99.9,0,0.00,0
Mar  6:00,0.4,89.9,9,0.01,2
Mar  7:00,11.6,79.9,75,0.08,107
Mar  8:00,22.5,69.0,202,0.28,316
Mar  9:00,32.5,56.3,336,0.62,534
Mar 10:00,40.9,40.8,454,1.08,724
Mar 11:00,46.8,21.6,541,1.62,862
Mar 12:00,48.8,-0.6,586,2.20,931
Mar 13:00,46.5,-22.7,572,2.77,923
Mar 14:00,40.5,-41.7,527,3.30,839
Mar 15:00,31.9,-57.0,436,3.74,688
Mar 16:00,21.8,-69.5,290,4.03,484
Mar 17:00,10.9,-80.3,55,4.08,38
Mar 18:00,-0.3,-90.3,9,4.09,0
Mar 19:00,-11.5,-100.3,0,4.09,0
Mar 20:00,-22.4,-111.2,0,4.09,0
Mar 21:00,-32.4,-123.8,0,4.09,0
Mar 22:00,-40.9,-139.3,0,4.09,0
Mar 23:00,-46.7,-158.5,0,4.09,0
Apr  0:00,-60.0,175.1,0,0.00,0
Apr  1:00,-56.4,147.8,0,0.00,0
Apr  2:00,-48.7,127.0,0,0.00,0
Apr  3:00,-38.9,111.7,0,0.00,0
Apr  4:00,-28.1,99.7,0,0.00,0
Apr  5:00,-16.9,89.4,0,0.00,0
Apr  6:00,-5.7,79.7,0,0.00,0
Apr  7:00,5.2,69.8,29,0.03,44
Apr  8:00,15.3,58.9,134,0.16,226
Apr  9:00,24.3,46.5,249,0.41,424
Apr 10:00,31.4,32.0,352,0.76,597
Apr 11:00,35.9,15.1,418,1.18,718
Apr 12:00,37.1,-3.1,449,1.63,772
Apr 13:00,34.7,-21.0,433,2.06,753
Apr 14:00,29.2,-37.1,379,2.44,662
Apr 15:00,21.4,-50.9,284,2.73,506
Apr 16:00,11.9,-62.7,56,2.78,40
Apr 17:00,1.5,-73.1,13,2.80,11
Apr 18:00,-9.6,-82.8,0,2.80,0
Apr 19:00,-20.8,-92.6,0,2.80,0
Apr 20:00,-32.0,-103.3,0,2.80,0
Apr 21:00,-42.6,-116.1,0,2.80,0
Apr 22:00,-51.9,-133.0,0,2.80,0
Apr 23:00,-58.5,-156.2,0,2.80,0
May  0:00,-68.5,171.9,0,0.00,0
May  1:00,-63.6,138.7,0,0.00,0
May  2:00,-54.7,117.1,0,0.00,0
May  3:00,-44.1,102.7,0,0.00,0
May  4:00,-33.0,91.6,0,0.00,0
May  5:00,-21.7,82.0,0,0.00,0
May  6:00,-10.7,72.8,0,0.00,0
May  7:00,-0.3,63.3,6,0.01,0
May  8:00,9.2,52.9,69,0.07,140
May  9:00,17.5,41.1,166,0.24,319
May 10:00,23.9,27.7,253,0.49,476
May 11:00,27.7,12.6,309,0.80,586
May 12:00,28.6,-3.4,336,1.14,633
May 13:00,26.4,-19.1,320,1.46,611
May 14:00,21.4,-33.5,268,1.73,521
May 15:00,14.2,-46.2,110,1.84,42
May 16:00,5.3,-57.3,26,1.86,29
May 17:00,-4.7,-67.3,1,1.86,0
May 18:00,-15.4,-76.6,0,1.86,0
May 19:00,-26.5,-85.8,0,1.86,0
May 20:00,-37.8,-95.9,0,1.86,0
May 21:00,-48.8,-108.0,0,1.86,0
May 22:00,-58.9,-124.8,0,1.86,0
May 23:00,-66.5,-151.0,0,1.86,0
Jun  0:00,-72.1,174.3,0,0.00,0
Jun  1:00,-67.2,136.4,0,0.00,0
Jun  2:00,-58.0,113.9,0,0.00,0
Jun  3:00,-47.2,99.7,0,0.00,0
Jun  4:00,-36.0,89.0,0,0.00,0
Jun  5:00,-24.7,79.7,0,0.00,0
Jun  6:00,-13.9,70.8,0,0.00,0
Jun  7:00,-3.6,61.6,0,0.00,0
Jun  8:00,5.8,51.5,29,0.03,87
Jun  9:00,13.9,40.2,121,0.15,258
Jun 10:00,20.2,27.4,211,0.36,411
Jun 11:00,24.1,13.2,265,0.63,521
Jun 12:00,25.3,-1.9,289,0.91,572
Jun 13:00,23.4,-16.9,275,1.19,556
Jun 14:00,18.8,-30.8,229,1.42,473
Jun 15:00,12.1,-43.2,60,1.48,40
Jun 16:00,3.6,-54.2,18,1.50,24
Jun 17:00,-6.1,-64.0,0,1.50,0
Jun 18:00,-16.6,-73.1,0,1.50,0
Jun 19:00,-27.6,-82.0,0,1.50,0
Jun 20:00,-38.8,-91.5,0,1.50,0
Jun 21:00,-50.0,-102.8,0,1.50,0
Jun 22:00,-60.5,-118.5,0,1.50,0
Jun 23:00,-69.0,-144.3,0,1.50,0
Jul  0:00,-69.4,178.2,0,0.00,0
Jul  1:00,-65.5,142.4,0,0.00,0
Jul  2:00,-56.9,119.0,0,0.00,0
Jul  3:00,-46.4,103.9,0,0.00,0
Jul  4:00,-35.3,92.6,0,0.00,0
Jul  5:00,-24.0,82.9,0,0.00,0
Jul  6:00,-13.0,73.7,0,0.00,0
Jul  7:00,-2.5,64.4,2,0.00,0
Jul  8:00,7.2,54.2,52,0.05,106
Jul  9:00,15.7,42.8,150,0.20,284
Jul 10:00,22.4,29.7,240,0.44,446
Jul 11:00,26.7,15.0,298,0.74,564
Jul 12:00,28.1,-0.7,316,1.06,622
Jul 13:00,26.4,-16.4,311,1.37,612
Jul 14:00,21.9,-31.0,264,1.64,533
Jul 15:00,15.0,-43.9,146,1.78,391
Jul 16:00,6.4,-55.2,31,1.81,32
Jul 17:00,-3.3,-65.3,2,1.81,0
Jul 18:00,-13.9,-74.7,0,1.81,0
Jul 19:00,-25.0,-83.8,0,1.81,0
Jul 20:00,-36.2,-93.6,0,1.81,0
Jul 21:00,-47.3,-105.2,0,1.81,0
Jul 22:00,-57.7,-120.9,0,1.81,0
Jul 23:00,-66.0,-145.3,0,1.81,0
Aug  0:00,-61.3,177.2,0,0.00,0
Aug  1:00,-57.9,148.8,0,0.00,0
Aug  2:00,-50.3,127.3,0,0.00,0
Aug  3:00,-40.5,111.7,0,0.00,0
Aug  4:00,-29.6,99.6,0,0.00,0
Aug  5:00,-18.4,89.3,0,0.00,0
Aug  6:00,-7.2,79.7,0,0.00,0
Aug  7:00,3.7,69.8,25,0.03,30
Aug  8:00,13.9,59.2,126,0.15,204
Aug  9:00,22.9,47.0,236,0.39,402
Aug 10:00,30.2,32.7,331,0.72,577
Aug 11:00,34.9,16.2,394,1.11,702
Aug 12:00,36.3,-1.7,424,1.54,763
Aug 13:00,34.2,-19.5,408,1.94,749
Aug 14:00,29.0,-35.6,372,2.32,664
Aug 15:00,21.4,-49.5,275,2.59,513
Aug 16:00,12.1,-61.3,60,2.65,40
Aug 17:00,1.8,-71.8,16,2.67,15
Aug 18:00,-9.2,-81.6,0,2.67,0
Aug 19:00,-20.4,-91.4,0,2.67,0
Aug 20:00,-31.6,-101.9,0,2.67,0
Aug 21:00,-42.2,-114.5,0,2.67,0
Aug 22:00,-51.7,-131.0,0,2.67,0
Aug 23:00,-58.6,-153.9,0,2.67,0
Sep  0:00,-49.8,174.0,0,0.00,0
Sep  1:00,-46.5,152.0,0,0.00,0
Sep  2:00,-39.6,133.7,0,0.00,0
Sep  3:00,-30.5,119.1,0,0.00,0
Sep  4:00,-20.1,107.0,0,0.00,0
Sep  5:00,-9.1,96.5,0,0.00,0
Sep  6:00,2.2,86.6,15,0.02,18
Sep  7:00,13.3,76.4,95,0.11,144
Sep  8:00,24.0,65.3,232,0.34,359
Sep  9:00,33.6,52.1,349,0.69,572
Sep 10:00,41.5,36.0,441,1.13,752
Sep 11:00,46.5,16.2,500,1.63,875
Sep 12:00,47.5,-5.8,526,2.16,927
Sep 13:00,44.3,-26.9,507,2.67,901
Sep 14:00,37.7,-44.9,458,3.12,801
Sep 15:00,28.8,-59.4,357,3.48,636
Sep 16:00,18.6,-71.4,213,3.69,423
Sep 17:00,7.7,-81.9,39,3.73,34
Sep 18:00,-3.6,-91.9,2,3.74,0
Sep 19:00,-14.7,-102.0,0,3.74,0
Sep 20:00,-25.5,-113.2,0,3.74,0
Sep 21:00,-35.2,-126.5,0,3.74,0
Sep 22:00,-43.2,-142.9,0,3.74,0
Sep 23:00,-48.4,-163.2,0,3.74,0
Oct  0:00,-38.2,172.4,0,0.00,0
Oct  1:00,-35.0,154.5,0,0.00,0
Oct  2:00,-28.7,138.7,0,0.00,0
Oct  3:00,-20.3,125.3,0,0.00,0
Oct  4:00,-10.5,113.8,0,0.00,0
Oct  5:00,0.2,103.6,8,0.01,2
Oct  6:00,11.3,93.9,60,0.07,70
Oct  7:00,22.6,83.9,185,0.25,273
Oct  8:00,33.6,72.7,316,0.57,501
Oct  9:00,43.9,59.1,440,1.01,716
Oct 10:00,52.6,41.1,537,1.55,890
Oct 11:00,58.1,16.8,606,2.15,1005
Oct 12:00,58.6,-11.5,632,2.78,1046
Oct 13:00,54.0,-37.0,611,3.40,1011
Oct 14:00,45.8,-56.1,549,3.94,901
Oct 15:00,35.7,-70.5,433,4.38,729
Oct 16:00,24.8,-82.0,293,4.67,512
Oct 17:00,13.6,-92.1,109,4.78,41
Oct 18:00,2.4,-101.9,18,4.80,19
Oct 19:00,-8.4,-112.0,0,4.80,0
Oct 20:00,-18.3,-123.2,0,4.80,0
Oct 21:00,-27.0,-136.1,0,4.80,0
Oct 22:00,-33.7,-151.4,0,4.80,0
Oct 23:00,-37.5,-168.9,0,4.80,0
Nov  0:00,-28.9,173.7,0,0.00,0
Nov  1:00,-26.1,158.0,0,0.00,0
Nov  2:00,-20.6,143.9,0,0.00,0
Nov  3:00,-13.0,131.4,0,0.00,0
Nov  4:00,-3.9,120.5,0,0.00,0
Nov  5:00,6.3,110.7,28,0.03,31
Nov  6:00,17.1,101.4,104,0.13,134
Nov  7:00,28.3,92.1,237,0.37,346
Nov  8:00,39.6,81.7,376,0.75,572
Nov  9:00,50.5,68.9,492,1.24,782
Nov 10:00,60.2,50.8,585,1.82,953
Nov 11:00,67.1,22.5,655,2.48,1064
Nov 12:00,67.9,-14.8,688,3.16,1106
Nov 13:00,62.1,-45.7,688,3.85,1073
Nov 14:00,52.8,-65.7,630,4.48,969
Nov 15:00,42.0,-79.3,514,5.00,804
Nov 16:00,30.8,-90.0,374,5.37,595
Nov 17:00,19.6,-99.5,215,5.59,366
Nov 18:00,8.7,-108.7,45,5.63,36
Nov 19:00,-1.6,-118.4,4,5.63,0
Nov 20:00,-11.0,-129.0,0,5.63,0
Nov 21:00,-18.9,-141.1,0,5.63,0
Nov 22:00,-24.9,-154.9,0,5.63,0
Nov 23:00,-28.3,-170.2,0,5.63,0
Dec  0:00,-25.2,177.0,0,0.00,0
Dec  1:00,-23.2,162.1,0,0.00,0
Dec  2:00,-18.4,148.3,0,0.00,0
Dec  3:00,-11.5,136.0,0,0.00,0
Dec  4:00,-3.0,125.1,0,0.00,0
Dec  5:00,6.8,115.4,26,0.03,32
Dec  6:00,17.3,106.3,98,0.12,125
Dec  7:00,28.3,97.4,223,0.35,330
Dec  8:00,39.6,87.8,370,0.72,553
Dec  9:00,50.7,76.3,500,1.22,764
Dec 10:00,61.2,60.1,615,1.83,940
Dec 11:00,69.5,33.3,686,2.52,1063
Dec 12:00,72.0,-8.6,719,3.24,1118
Dec 13:00,66.7,-45.4,714,3.95,1100
Dec 14:00,57.3,-67.2,670,4.62,1012
Dec 15:00,46.5,-81.0,565,5.19,862
Dec 16:00,35.2,-91.6,425,5.61,664
Dec 17:00,24.0,-100.8,266,5.88,441
Dec 18:00,13.2,-109.7,114,5.99,218
Dec 19:00,2.9,-119.0,14,6.01,21
Dec 20:00,-6.4,-129.1,0,6.01,0
Dec 21:00,-14.4,-140.5,0,6.01,0
Dec 22:00,-20.5,-153.4,0,6.01,0
Dec 23:00,-24.3,-167.7,0,6.01,0
